	texto	texto_modificado
1150	- crear políticas de salud para adulto mayor.	crear política salud adulto mayor
1151	- asignar mas recursos.	asignar recurso
1152	"- prohibir los alimentos que afectan a la salud"""	prohibir alimento afectar salud
1153	"580	que sea la calidad, gratuidad mejorando la infraestructura de los colegios y mejorar las condiciones de trabajo de los docentes."	calidad  gratuidad mejorar infraestructura colegio mejorar condición trabajo docente
1154	"581	""no es gratuita completamente"	gratuito completamente
1155	no se garantiza que las personas humildes salgan de la pobreza.	garantizar persona humilde salgar pobreza
1156	"los alumnos de los liceos tecnicos, no pueden ejercer lo que estudiaron."""	alumno liceo tecnico  ejercer estudiar
1157	"582	""- que sea gratuita"	gratuito
1158	- que bajen los aranceles de las carreras	bajar arancel carrera
1159	"- no existen las mismas oportunidades"""	existir mismo oportunidad
1160	"583	""-falta de especialistas"	falta especialista
1161	-diferencia entre lo público y privado no debería ecxistir.	diferencia público privado ecxistir
1162	"-listas de espera por tardansa en las horas"""	lista espera tardansa hora
1163	"584	""educación de calidad para todos y todas"	educación calidad
1164	"educación como un derecho y no un bien de consumo"""	educación derecho bien consumo
1165	"585	""- Faltan médicos especialistas que mejoren la salud de las personas"	faltar médico especialista mejorar salud persona
1166	"- Falta mejor atención domiciliaria a los enfermos"""	faltar mejor atención domiciliario enfermo
1167	"586	""por que alguien con derecho tiene mejor educación que alguien de clase media"	alguien derecho mejor educación alguien clase medio
1168	por que uno vive con el sueldo minimo y la pension es una miseria	vivir sueldo mínimo pensión miseria
1169	"por que cuesta mucho conseguir una hora y dan para mucho meses después."""	costar conseguir hora dar mes después
1170	"587	""recursos: mayor equidad en la entrega de recursos a los establecimientos de salud publicos"	recurso  mayor equidad entrega recurso establecimiento salud público
1171	personal: mas profesionales , profesionales de calidad, con buen trato a los usuarios. más oportunidades laborales.	personal  profesional  profesional calidad  buen trato usuario  oportunidad laboral
1172	"infraestructura: mejoramiento y aumento de ellas"""	infraestructura  mejoramiento aumento
1173	"588	la educación porque es la vía de acceso a un mejor pasar, mejor calidad de vida."	educación vía acceso mejor pasar  mejor calidad vida
1174	"589	mejorar el sistema de salud, que sea gratuito y de calidad, que no sigan filas para esperar, la consulta del medico en la posta, que tengan todos los medicamentos y que suba el sueldo a los profesionales de la salud."	mejorar sistema salud  gratuito calidad  seguir fila esperar  consulta médico posta  medicamento subir sueldo profesional salud
1175	"590	hay preferencia para los que tienen como pagar en la salud, y el que no tiene debe esperar años para ser atendido"	preferencia pagar salud  esperar año atender
1176	"591	""promover la alimentación saludable."	promover alimentación saludable
1177	promover la vida familiar.	promover vida familiar
1178	recuperar el cobre, el litio.	recuperar cobre  litio
1179	generar espacios de recreación.	generar espacio recreación
1180	"vivir dignamente y tranquilos."""	vivir dignamente tranquilo
1181	"592	""mejorar la salud publica."	mejorar salud publica
1182	mejorar las tenciones.	mejorar tención
1183	aumentar los recursos de salud	aumentar recurso salud
1184	"salud digna y de calidad."""	salud digno calidad
1185	"593	""que se eliminen las afp."	eliminar afp
1186	que se desvuelvan el 100% de los ahorros.	desvolver   ahorro
1187	"disminuir los años a jubilar"""	disminuir año jubilar
1188	"594	""es necesario mejorar reforma educacional y sistema de tómbola"	necesario mejorar reforma educacional sistema tómbola
1189	se debe ampliar el área de conocimiento que se entreguen herramientas para desarrollarse en la vida real	ampliar área conocimiento entregar herramienta desarrollar vida real
1190	ánimo de lucrar o negociar con educación	ánimo lucrar negociar educación
1191	"cultura"""	cultura
1192	"595	""Tiene que ver con reducir los tiempos de espera, mejorar infraestructura y accesibilidad a una salud de calidad"	ver reducir tiempo espera  mejorar infraestructura accesibilidad salud calidad
1193	debiera existir salud preventiva e integral	existir salud preventivo integral
1194	"mayores especialistas y vocación, sobre todo en regiones."""	mayor especialista vocación  región
1195	"596	""el pais esta en desordde, sin poder de las ramas de ff.aa"	país desordde  rama ffaa
1196	ordenar el pais a partir de la presidencia	ordenar país partir presidencia
1197	"ordenar el sistema público en general."""	ordenar sistema público general
1198	"597	""debería ser gratis"	gratis
1199	es mediocre, hay mala atención.	mediocre  malo atención
1200	que un ciudadano no espera tanto tiempo por atención y que puedas acceder independiente si es fonasa o isapre.	ciudadano esperar tiempo atención acceder independiente si fonaso isapre
1201	"mas especialistas, contratación."""	especialista  contratación
1202	"598	""- mucha cesantía"	cesantía
1203	- si no hay dinero no se pueden solucionar las cosas	si dinero solucionar cosa
1204	"- escasez de de becas """	escasez beca
1205	"599	""mejorar la salud en cuanto atención cobertura y horarios"	mejorar salud cuanto atención cobertura horario
1206	notas medicas no oportunas	nota medico oportuno
1207	los especialistas deberían tratar mejora los pacientes	especialista tratar mejora paciente
1208	hay especialistas solo particulares	especialista sólo particular
1210	"600	""señalan la precariedad que existe en la salud pública."	señalar precariedad existir salud público
1211	". la persona que no tiene dinero puede morir esperando una atención. """	persona dinero morir esperar atención
1212	"601	porque aqui nadie para esta cosa, sigue la destruccion en el pais, se les paso la mano."	aquí nadie cosa  seguir destrucción país  pasar mano
1213	"602	""necesidad básica."	necesidad básico
1214	falta de recursos.	falta recurso
1215	contratar mayor número de médicos y especialistas.	contratar mayor número médico especialista
1217	"más equipamiento. """	equipamiento
1218	"603	""remedio insuficientes"	remedio insuficiente
1219	pecialista	pecialista
1220	falta de recurso humano	falta recurso humano
1221	que no exista colusión	existir colusión
1222	"personas con vocación de servicio."""	persona vocación servicio
1223	"604	""- igualdad para todos"	igualdad
1224	"- infraestructura.... para ello se requiere aumentar los recursos para mejorar aspectos como capacidad del profesorado, infraestructura"""	infraestructura  requerir aumentar recurso mejorar aspecto capacidad profesorado  infraestructura
1225	"605	""- salud de calidad"	salud calidad
1226	- buenos profesionales	buen profesional
1227	- falta de insumos	falta insumo
1228	"- necesidad de más infraestructura"""	necesidad infraestructura
1229	"606	se deben igualar los ingresos de las personas, el sueldo minimo y especialmente las pensiones, en el caso puntual de gen,chi igualar pensiones de personal civil con las planta gendarmeria"	igualar ingreso persona  sueldo mínimo especialmente pensión  caso puntual gen  chi igualar pensión personal civil planta gendarmerio
1230	"607	""- acabar con las listas de espera"	acabar lista espera
1231	- atención digna y de calidad	atención digno calidad
1232	- mas profesionales	profesional
1233	"- más recursos"""	recurso
1234	"608	""- mayor cantidad de profesionales e infraestructura."	mayor cantidad profesional infraestructura
1235	- calidad de atención.	calidad atención
1236	-terminar con a lista de espera	terminar lista espera
1237	"- costos medicamentos .  """	costo medicamento
1238	"609	""buenos medicos"	buen medico
1239	mejor acceso en atencion medico	mejor acceso atención médico
1240	salud de calidad y gratuita	salud calidad gratuito
1241	"salud de calidad y pronta"""	salud calidad pronto
1242	"610	""-Fue creada en periodo de dictadura."	crear periodo dictadura
1243	"-Faltan leyes que nos beneficien (ley del cáncer, etc) aguas."""	faltar ley beneficiar  ley cáncer  etcétera  agua
1244	"611	porque una persona que ha trabajado toda su vida no puede cubrir sus necesidades con una pensión mínima"	persona trabajar vida cubrir necesidad pensión mínimo
1245	"612	es necesario presentar las políticas necesarias para volver a reencontrarnos y direccionar el camino a seguir en nuestro país."	necesario presentar política necesario volver reencontrar direccionar camino seguir país
1246	"613	""- mucho tiempo para una operación"	tiempo operación
1247	-faltan especialistas	faltar especialista
1248	-no hay horas en el hospital	no hora hospital
1249	- malos tratos a los adultos mayores	malo trato adulto mayor
1250	"- poca variedad de medicamentos a entregar (solo paracetamol)"""	variedad medicamento entregar  sólo paracetamol
1251	"614	las personas pobres tengan acceso a una salud y atención en el momento oportuno, basta de esperas"	persona pobre acceso salud atención momento oportuno  bastar espera
1252	"615	""- la salud en chile es mala"	salud chile malo
1253	- mucha diferencia con el sistema pagado y publico	diferencia sistema pagado público
1254	- falta de especialidades en los consultorios	falta especialidad consultorio
1255	"- falta libertad de opción de elegir """	faltar libertad opción elegir
1256	"616	""al que medidas se van a tomar para el país"	medida tomar país
1257	"- para darle solución a los problemas del pueblo."""	dar solución problema pueblo
1258	"617	""mayores atribuciones en actuar de carabineros"	mayor atribución actuar carabinero
1259	falta de organización entre ffaa	falta organización ffaa
1260	"mayor seguridad a las personas"""	mayor seguridad persona
1261	"618	""-por la desigualdad en los delitos segun connotacion social."	por desigualdad delito segun connotación social
1262	-mayor dotacion de carabineros.	mayor dotacion carabinero
1263	-mayor instumentos de lo carabineros.	mayor instumento carabinero
1264	"-no entrega de recursos a los sectores vulnerables segun connotacion social."""	no entregar recurso sector vulnerable segun connotación social
1265	"619	salario minimo digno que permita cubrir los gastos mensuales de la familia y proyectarse a futuro"	salario mínimo digno permitir cubrir gasto mensual familia proyectar futuro
1266	"620	la mayoría somos adultos, viendo los antecesores que sacaron una pensión paupérrima, no es digno vivir así después de trabajar mucho, no es justo"	mayoría adulto  ver antecesor sacar pensión paupérrimo  digno vivir así después trabajar  justo
1267	"621	El inicio de a contingencia social inicio con el aumento de los pasajes y bajos sueldos"	inicio contingencia social inicio aumento pasaje bajo sueldo
1268	"622	""- Aumento de presupuesto para salud mental."	aumento presupuesto salud mental
1269	- mejoramiento en la calidad de salud pública.	mejoramiento calidad salud público
1270	"-Fiscalización de horarios de ingreso salida"""	fiscalización horario ingreso salido
1271	"623	""requerimos de un sistema de calidad y tener prioridad la prevención"	requerir sistema calidad prioridad prevención
1272	- necesidad del aumento respecto de la capacidad de atención	necesidad aumento respecto capacidad atención
1273	"- abastecimiento más expedito para todos los casos y áreas """	abastecimiento expedito caso área
1274	"624	que baje el nivel de caos, para que tanto la ciudadania como las autoridades puedan tomar decisiones sin estar bajo presión. que pueda fluir las ideas con libertad."	bajar nivel caos  ciudadanía autoridad tomar decisión bajo presión  fluir idea libertad
1275	"625	los chilenos con el estado, en cuanto a la salud, el deficit de atención y el costo de los medicamentos, la afp, estamos en contra , las personas, solo se ha dado propuestas a nivel político"	chileno estado  cuanto salud  deficit atención costo medicamento  afp   persona  sólo dar propuesta nivel político
1276	"626	mayor facultad de las policías  para mantener el orden y neutralizar a los delincuentes q' están destruyendo el país."	mayor facultad policía mantener orden neutralizar delincuente q  destruir país
1277	"627	""mientras mas cobra altos son los aportes que se hacen"	mientras cobrar alto aporte
1278	"garantizar mas a los funcionarios públicos en cuanto a derechos humanos y maltratos"""	garantizar funcionario público cuanto derecho humano maltrato
1279	"628	""Porque es la base del bienestar social"	base bienestar social
1280	Deria ser gratuita universal equitativa, pertinente, eficiente	deria gratuito universal equitativo  pertinente  eficiente
1281	"Salud mental mas recursos"""	salud mental recurso
1282	"629	es malisima, los tiempos de espera son muy largo ( horas) gran diferencia con sistema privado. personas de la tercera edad deben esperar mucho. larga espera para retirar su medicamentos. las horas medicas 2 meses de espera"	malisimo  tiempo espera largo  hora  gran diferencia sistema privado  persona tercero edad esperar  largo espera retirar medicamento  hora medico  mes espera
1283	"630	""cada día la educación es más cara"	cada día educación cara
1284	pocas profesionales de la educación básica y media están ejerciendo por vocación	profesional educación básico medio ejercer vocación
1285	"educación gratuita para todos"""	educación gratuito
1286	"631	""- igualdad de oportunidades en el ambito de educación, salud y justicia."	igualdad oportunidad ambito educación  salud justicia
1287	"- mejora en los montos mínimos de la pensión básica solidaria"""	mejora monto mínimo pensión básico solidario
1288	"632	educación gratuita, para todos ya que hay gente que no cuenta con las lucas para poder estudiar o mas becas sin poner tanto pero"	educación gratuito  gente contar luca estudiar beca poner
1289	"633	""bajar pension"	bajar pensión
1290	hacer publicos todos los articulos que se van a modificar	público articulo modificar
1291	tener libre dispocision de los ahorros	libre dispocisión ahorro
1293	"634	sin cobertura, mala atención, sin calidad y etica, sin insumos en la salud, mejorar atención de especialista, aumentar especialista, atención de calidad y falta de dotacion en el servicio publico."	cobertura  malo atención  calidad etica  insumo salud  mejorar atención especialista  aumentar especialista  atención calidad falta dotacion servicio público
1294	"635	"". de calidad"	calidad
1295	. que sea ugualdad para todo	ugualdad
1296	. que no haya que esperar	esperar
1297	". expecialistas medicos en salud basicos"""	expecialista medico salud basico
1298	"636	""dan prioridad a los extranjeros, no dan trabajo a los chilenos."	dar prioridad extranjero  dar trabajo chileno
1299	"por otra parte, se discute que los extranjeros no obtienen trabajos excepcionales"""	parte  discutir extranjero obtener trabajo excepcional
1300	"637	""que la gente pueda solventar los gastos básicos"	gente solventar gasto básico
1301	encarecimientos de la vida	encarecimiento vida
1302	"no se puede acceder a descanso"""	acceder descanso
1303	"638	""mejorar la calidad y turno de atencion de salud publica"	mejorar calidad turno atención salud publica
1304	con especialistas que puedan elegir las realizadas psicosociales en aysen	especialista elegir realizado psicosocial aysen
1305	"faltan especialistas en aysen"""	faltar especialista aysen
1306	"639	""- no esperar tanto por atención"	esperar atención
1307	- mejor acceso, no tantas espera	mejor acceso  espera
1308	"- pocos números de atención, hay que cambiarse de consultorio"""	número atención  cambiar consultorio
1309	"640	importancia de incorporar educación civica en los colegios, para que exista mayor interés en participar en actividades como ciudadano."	importancia incorporar educación civico colegio  existir mayor interés participar actividad ciudadano
1310	"641	""hacer llegar seguridad a todos civiles, empresarios etc."	llegar seguridad civil  empresario etc
1311	"propiciar un ambiente que facilite el poder trabajar y vivir sin miedo. """	propiciar ambiente facilitar trabajar vivir miedo
1312	"642	""mejorar el acceso a la atencion de salud pública."	mejorar acceso atención salud público
1313	"darle relevancia a la importancia de la salud mental."""	dar relevancia importancia salud mental
1314	"643	""pagos excesivos en isapres se forma en un negocio y muy lucrativo"	pago excesivo isapre formar negocio lucrativo
1315	"el hospital vs clínica privada,no tiene los recursos económicos disponibles"""	hospital vs clínica privado  recurso económico disponible
1316	"644	mejorar las pensiones que no sea un negocio que no se pierdan los fondos de años de trabajo"	mejorar pensión negocio perder fondo año trabajo
1317	"645	los chilenos y estudiantes necesitan educacion civica provoca saber la real historia chilena y asumir derechos y deberes"	chileno estudiante necesitar educación civico provocar saber real historia chileno asumir derecho
1318	"646	que se pongan de acuerdo las ong ya que en todas partes ponen cosas y dicen cosas distintas."	poner acuerdo ong parte poner cosa decir cosa distinto
1319	"647	""falta de especialistas"	falta especialista
1320	lista de espera, mucho tiempo	lista espera  tiempo
1321	acceso universal a la salud	acceso universal salud
1322	"fortalecer atención en salud primaria """	fortalecer atención salud primario
1323	"648	""-mejorar el acceso a la educación"	mejorar acceso educación
1324	"-cambiar el sistema de ingreso a los colegios, liceso y universidades"""	cambiar sistema ingreso colegio  liceso universidad
1325	"649	""agilizar la atención de la lista de espera para enfermedades crónicas."	agilizar atención lista espera enfermedad crónico
1326	"contratar más personal del área de salud."""	contratar personal área salud
1327	"650	""-eliminar el sistema afp, volver al sistema antiguo"	eliminar sistema afp  volver sistema antiguo
1328	-que suba la pensión solidaria	que subir pensión solidario
1329	- subir la pension de discapacidad	subir pensión discapacidad
1330	- mejorar los sueldos	mejorar sueldo
1331	"- aminorar la edad de jubilación """	aminorar edad jubilación
1332	"651	""- medicamentos con alto costo."	medicamento alto costo
1333	- tiempos de espera (disminuir)	tiempo espera  disminuir
1334	- mas especialistas	especialista
1335	- descentralizar la salud	descentralizar salud
1336	"- capacitar a funcionarios para que tengan más empatía."""	capacitar funcionario empatía
1337	"652	""- alto costo de los remedios"	alto costo remedio
1338	- accesi a más especialidades	accesi especialidad
1339	"- más y mejor acceso a la salud que se equipare con lo privado."""	mejor acceso salud equipar privado
1340	"653	""- mejorar atención de los profesionales de la salud.-"	mejorar atención profesional salud
1341	- falta de especialistas médicos, falta de tecnología.-	falta especialista médico  falta tecnología
1342	- aumentar la dotación médica.-	aumentar dotación médico
1343	"- falta garantizar la atención para que sea rápida y oportuna"""	faltar garantizar atención rápido oportuno
1344	"654	participación ciudadana, el pueblo debe redactarla donde participan los entre sociales, los profesionales, dirigentes sociales, doctores, etc. que no sea realizada por solo ejecutivos en cuatro paredes."	participación ciudadano  pueblo redactar participar social  profesional  dirigente social  doctor  etc realizar sólo ejecutivo cuatro pared
1345	"655	""mejorar la calidad profesional de atención y su infractructura"	mejorar calidad profesional atención infractructura
1346	"inyectar mayores recursos para nuestra comuna y no esperar demasiado  para atención de especialidades"""	inyectar mayor recurso comuna esperar demasiado atención especialidad
1347	"656	salud por enfermedades, larga espera para atención solicitó para los 13 años y le llego ahora a los 29 años"	salud enfermedad  largo espera atención solicitar  año llego ahora  año
1348	"657	""-Integrar otras enfermedades al Auge ej: mental"	integrar enfermedad auge ej  mental
1349	- El logro. PSU / no debería medir tanto.	logro  psu  medir
1350	- Eliminar el 7% porciento a los abuelitos	eliminar   porciento abuelito
1351	- más derechos para todos.	derecho
1352	"- Autoridades ganan mucho dinero/ es injusto, deberían trabajar lo mismo que la gente común (Igualdad)."""	autoridades ganar dinero injusto  trabajar mismo gente común  igualdad
1353	"658	""- acceso equitativo"	acceso equitativo
1354	- alimentación saludable	alimentación saludable
1355	- atención digna ( mucho mal trato en la atención pública)	atención digno  mal trato atención público
1356	"- listas de espera extensas"""	lista espera extenso
1357	"659	""para mejorar la gestión de documentos"	mejorar gestión documento
1358	falta información para los campesinos	faltar información campesino
1359	"falta de asistencia de los servicios a los sectores rurales"""	falta asistencia servicio sector rural
1360	"660	""disponer de un sistema de pensiones y beneficios que aseguran una disponibilidad de recursos económicos sificiente para todos tengan una vejez digna."	disponer sistema pensión beneficio asegurar disponibilidad recurso económico sificiente vejez digno
1361	"debiera existir un sueldo mínimo que permita una vida digna. en casos justificados podría existir un subsidio a los empleadores para cubrir ese sueld"""	existir sueldo mínimo permitir vida digno  caso justificado existir subsidio empleador cubrir sueld
1362	"661	la perdida de los recursos naturales ya sea por apropiacion por parte de privados, la sequia, las destrucción de la flora y fauna y acumulación de basura provocan sin duda un gran daño a nuestra sociedad y a la economía del páis, es un tema importante en el que todos debemos tomar conciencia y resgu"	perdida recurso natural apropiación parte privado  sequia  destrucción flora fauna acumulación basura provocar duda gran daño sociedad economía páis  tema importante tomar conciencia resgu
1363	"662	porque corresponde darle vida digna y hacer que vivan como tal con una cantidad de dinero que alcance en una cosa y más."	corresponder dar vida digno vivar tal cantidad dinero alcanzar cosa
1364	"663	""se esta escaseando el trabajo por falta de llegada de turismo"	escasear trabajo falta llegada turismo
1365	"- hay fuente laboral solo hay que buscar empleo."""	fuente laboral sólo buscar empleo
1366	"664	""El grupo considera que la base para mejorar la desigualdad en chile y avanzar como país, es la educación."	grupo considerar base mejorar desigualdad chile avanzar país  educación
1367	"Es urgente mejorar la educación pública en chile"""	urgente mejorar educación público chile
1368	"665	""- aumento en cobertura de patología ges."	aumento cobertura patología ges
1369	- mucho tiempo de espera por horas medicas.	tiempo espera hora medico
1370	- que hayan especialistas.	especialista
1371	- mejorar los ospitales.	mejorar ospital
1372	- muy caros los medicamentos y poca disponibilidad.	caro medicamento disponibilidad
1373	"- acceso a la atención médica. """	acceso atención médico
1374	"666	""-faltas de especialistas"	falta especialista
1375	-falta equipamiento	falto equipamiento
1376	-que las horas sean mas rapidas y que sean mas eficientes	que hora rapido eficiente
1377	-falta de empatia por los profesionales	falta empatia profesional
1378	"-mas eficiencia en la atención"""	mas eficiencia atención
1379	"667	""-en la actualidad mala."	en actualidad malo
1380	-eliminar lista de espera.	eliminar lista espera
1381	-hoy los costos son muy altos.	hoy costo alto
1382	"-mejorar la calidad."""	mejorar calidad
1383	"668	mejor y de calidad y en acceso para todos sin distincion a pesar de las caract. diferentes."	mejor calidad acceso distincion pesar caract diferente
1384	"669	la riqueza del país se convierta en beneficios sociales para todos y no quede concentrada en un muy pequeño porcentaje de la población."	riqueza país convertir beneficio social quedar concentrado pequeño porcentaje población
1385	"670	""es necesario el aumento de sueldo por las familias."	necesario aumento sueldo familia
1386	"las pensiones son muy bajas no podemos vivir de ello."""	pensión baja vivir
1387	"671	en vallenar existe un hospital bien moderno pero faltan especialistas y por ello las derivan a copiapó y la atención se hace más lenta"	vallenar existir hospital bien moderno faltar especialista derivar copiapó atención lento
1388	"672	""- atención que sea prioritaria"	atención prioritario
1389	- atención digna, esperar menor a raíz de aumento de especialista.	atención digno  esperar menor raíz aumento especialista
1390	- falencia tema oncologico (centro oncologico)	falencia tema oncologico  centro oncologico
1391	- movilización desde sectores rurales a hospitales	movilización sector rural hospital
1392	"- precios v/s calidad, porque no se condice con atención"""	precio vr calidad  condizar atención
1393	"673	""-mejor atención y calidad del servicio en hospitales y servicios de atención primaria"	mejor atención calidad servicio hospital servicio atención primario
1394	"-alta cotización v/s poca cobertura"""	alto cotización vr cobertura
1395	"674	""remedios demasiado caros."	remedio demasiado caro
1396	bajos sueldos de doctores públicos.	bajo sueldo doctor público
1397	mala atención.	malo atención
1398	mucha burocracia.	burocracia
1399	"cobro exagerado de bonos."""	cobro exagerado bono
1400	"675	""los tiempos de espera son extensos y las listas son muy largas."	tiempo espera extenso lista largo
1401	el acceso a la salud con los especialidas es escasa.	acceso salud especialida escaso
1402	"los sueldos para funcionarios de hospitales son muy bajos. la dotación de técnicos en hospitales es baja. falta personal atención de público."""	sueldo funcionario hospital bajo  dotación técnico hospital bajo  faltar personal atención público
1403	"676	existe una pesisma salud publica y la gente lo ve como un negocio que solo beneficia a unos peces."	existir pesismo salud publica gente ver negocio sólo beneficiar pez
1404	"677	""-consagrar el espacio publico entendiendo a como queremos hacer ciudad, urbanismo, acceso a colegios, consultorios, servicios básicos."	consagrar espacio público entender querer ciudad  urbanismo  acceso colegio  consultorio  servicio básico
1405	"evitando la segregación para fortalecer las relaciones comunitarias"""	evitar segregación fortalecer relación comunitario
1406	"678	""por las dificultad de horas."	dificultad hora
1407	calidad de salud.	calidad salud
1408	mayor cantidad de especialistas.	mayor cantidad especialista
1409	"estamos viviendo mas, sin mayor calidad de vida."""	vivir  mayor calidad vida
1410	"679	""educación gratuita para los de bajos recursos."	educación gratuito bajo recurso
1411	"que los que son profesionales no pueden optar un trabajo por falta de fuentes laborales"""	profesional optar trabajo falta fuente laboral
1412	"680	""(5) cansado de q' nos roben."	cansado q robar
1413	queremos q' vuelva el seguro, nuestros fondos se entreguen a nuestros hijos.	querer q  volver seguro  fondo entregar hijo
1414	"pensiones dignas."""	pensión digno
1415	"681	que garantiza los derechos de los cuidadanos y de todas las persones por sobre la dinamica del mercado"	garantizar derecho cuidadano persón dinamica mercado
1416	"682	""- bajos ingresos y las cosas suben todos dias"	bajo ingreso cosa subir día
1417	"- hay que vivir con muy poco y hay muchos gastos"""	vivir gasto
1418	"683	""actualmente la educacion se transformó en un negocio mas que en un derecho."	actualmente educación transformar negocio derecho
1419	"además en costo es muy alto, liceos, privados, universidades son muy costosos, la calidad es mala, es segregadora, elitista y poco equitativa"""	además costo alto  liceo  privado  universidad costoso  calidad malo  segregador  elitista equitativo
1420	"684	""se está escaseando el trabajo por falta de llegada de turismo."	escasear trabajo falta llegada turismo
1421	hay fuente laboral solo hay que buscar empleo.	fuente laboral sólo buscar empleo
1423	"685	tanto el ejecutivo como los tribunales de justicia deben ponerse bien firme los pantalones y sancionar enérgicamente a delincuentes y anarquistas"	ejecutivo tribunal justicia poner bien firme pantalón sancionar enérgicamente delincuente anarquista
1424	"686	""es un  derecho que debe de ser gratis para las personas."	derecho gratis persona
1425	"no es posible tener que esperar tanto tiempo para una consulta. la gente muere esperando."""	posible esperar tiempo consulta  gente morir esperar
1426	"687	generar una mejoría en general, es decir, infraestructura, posibilidades par todos, igualdad, mejoría de infraestructura, etc. hacer mejores profesores y disminuir valores"	generar mejoría general  decir  infraestructura  posibilidad par  igualdad  mejoría infraestructura  etc mejor profesor disminuir valor
1427	"688	equidad en los montos relacionados con pension y sueldos mínimos(el pago de contribuciones ya que eso es un pago encubierto"	equidad monto relacionado pensión sueldo mínimo  pago contribución pago encubierto
1428	"689	mejorar las pensiones de invalidez ya que con lo que dan, no alcanza a cubrir las necesidades básicas"	mejorar pensión invalidez dar  alcanzar cubrir necesidad básico
1429	"690	se necesita de un sistema donde no existan mas listas de espera , mas especialistas y mejor infraestructura"	necesitar sistema existir lista espera  especialista mejor infraestructura
1430	"691	""- no nos sentimos seguros de ir a los ángeles por la delincuencia."	sentir seguro ángel delincuencia
1431	- orden y respeto.	orden respeto
1433	"692	""requieren más oportunidades laborales para personas en situación de discapacidad"	requerir oportunidad laboral persona situación discapacidad
1434	mejorar la inclusión para todos	mejorar inclusión
1435	"más capacitación para aumentar las oportunidades a empleos"""	capacitación aumentar oportunidad empleo
1436	"693	que existan sueldos acordes a las familias y los gastos que deben vivir día a día."	existir sueldo acorde familia gasto vivir día día
1437	"694	""-regulación del porcentaje de descuento."	regulación porcentaje descuento
1438	-el sistema de retiro no permite retirarlo, ni heredarlo.	el sistema retiro permitir retirar  heredar
1439	"-es muy tardía la edad de jubilación."""	aber tardía edad jubilación
1440	"695	los descuentos son muchos a los trabajadores y las cotizaciones son bajas al momento de jubilar"	descuento trabajador cotización baja momento jubilar
1441	"696	""mejorar la atención"	mejorar atención
1442	que terminen la listas de espera	terminar lista espera
1443	"que la espera en la atención sea más rapida ...."""	esperar atención rapido
1444	"697	""carencia de especialistas"	carencia especialista
1445	de elementos	elemento
1446	hospitales mejores equipados	hospital mejor equipado
1447	más lugares asistenciales	lugar asistencial
1448	"más seguridad para el hospital o centro"""	seguridad hospital centro
1449	"698	personas mayores quieren volver atras y eliminar la afp, pero lo esencial no es eliminar sino mejorarla"	persona mayor querer volver atrás eliminar afp  esencial eliminar sino mejorar
1450	"699	""Mas equitativo"	mas equitativo
1451	Igualdad de oportunidades	igualdad oportunidad
1452	Inclusión que no sabe una palabra	inclusión saber palabra
1453	"sean incluidas las ? con TEA en todo """	incluir  tea
1454	"700	importante para mejorar el bienestar de actuales pensiones, por lo bajo de estas, ademas penando en nuestra futura jubilación"	importante mejorar bienestar actual pensión  bajo  además penar futuro jubilación
1455	"701	""- Generar distribucion equitativa de las ganancias generadas por la AFP"	generar distribución equitativo ganancia generado afp
1456	"-Fiscalización por parte del Estado."""	fiscalización parte estado
1457	"702	-aumento por que no alcanza para todos los gasto ej; salud, comida, gatos comunes y necesarios"	aumento alcanzar gasto ej  salud  comida  gato común necesario
1458	"703	- se necesita mejorar la calidad en atención, aumento de personal, eliminación de listas de espera."	necesitar mejorar calidad atención  aumento personal  eliminación lista espera
1459	"704	-capacidad   ?   y el acceso a profesionales (especialistas) de igual forma que se obtiene en la capital sea para todas las regiones"	capacidad  acceso profesional  especialista  igual forma obtener capital región
1460	"705	porque ya hay que ponerse las pilas y coordinar las lucas q hay en el pais"	poner pila coordinar luca q país
1461	"706	el gobierno no ha escuchado las necesidades de salud (escasez) y crean leyes que les favorecen a ellos"	gobierno escuchar necesidad salud  escasez  crear ley favorecer
1462	"707	las diferencias sociales son una gran brecha, ya que los más pobres son desventajados por no recibir la misma educación, por lo que no pueden rendir una buena psu."	diferencia social gran brecha  pobre desventajado recibir mismo educación  rendir buen psu
1463	"708	""por la espera que se debe tener para recibir atención."	espera recibir atención
1464	falta de especialistas.	falta especialista
1465	"mejor salud por especialidad."""	mejor salud especialidad
1466	"709	""-la preocupación por haber trabajado toda su vida y no le alcanzará el sueldo para vivir."	la preocupación trabajar vida alcanzar sueldo vivir
1467	-que suban	que subir
1468	"-siente que se castigan a las personas que trabajan."""	sientar castigar persona trabajar
1469	"710	""Falta de medicos especialistas"	falta medico especialista
1470	infraestructura y suministros para el sector rural y altiplanico.	infraestructura suministro sector rural altiplanico
1471	"Facilidad de transporte y conectividad."""	facilidad transporte conectividad
1472	"711	por la educación que no se pudo terminar por los saqueos por la agricultura que estuvo un baja previo"	educación terminar saqueo agricultura baja previo
1473	"712	lamentablemente la calidad de vida no es la misma entre los ricos y pobres, esto se ve en salud, pensiones, etc..."	lamentablemente calidad vida mismo rico pobre  ver salud  pensión  etc
1474	"713	""salud:"	salud
1475	-tiempo de espera de atención	tiempo espera atención
1476	-salud de calidad	salud calidad
1477	"-colapso en disponibilidad de horario de atención"""	colapso disponibilidad horario atención
1478	"714	""-ajuste salarial e igualitario pra hombres y mujeres"	ajuste salarial igualitario pra hombre mujer
